Site	Dates	Flow	
10s	10d	6n	
11452900	2017-04-10	236	
11452900	2017-04-11	235	
11452900	2017-04-12	235	
11452900	2017-04-13	235	
11452900	2017-04-14	236	
11452900	2017-04-15	236	
11452900	2017-04-16	233	
11452900	2017-04-17	232	
11452900	2017-04-18	232	
11452900	2017-04-19	231	
11452900	2017-04-20	229	
11452900	2017-04-21	228	
11452900	2017-04-22	228	
11452900	2017-04-23	228	
11452900	2017-04-24	227	
11452900	2017-04-25	226	
11452900	2017-04-26	223	
11452900	2017-04-27	218	
11452900	2017-04-28	207	
11452900	2017-04-29	190	
11452900	2017-04-30	177	
11452900	2017-05-01	175	
11452900	2017-05-02	165	
11452900	2017-05-03	166	
11452900	2017-05-04	0	
11452900	2017-05-05	0	
11452900	2017-05-06	0	
11452900	2017-05-07	0	
11452900	2017-05-08	0	
11452900	2017-05-09	0	
11452900	2017-05-10	0	
11452900	2017-05-11	0	
11452900	2017-05-12	0	
11452900	2017-05-13	0	
11452900	2017-05-14	0	
11452900	2017-05-15	0	
11452900	2017-05-16	0	
11452900	2017-05-17	0	
11452900	2017-05-18	0	
11452900	2017-05-19	0	
11452900	2017-05-20	0	
11452900	2017-05-21	0	
11452900	2017-05-22	0	
11452900	2017-05-23	0	
11452900	2017-05-24	0	
11452900	2017-05-25	0	
11452900	2017-05-26	0	
11452900	2017-05-27	0	
11452900	2017-05-28	0	
11452900	2017-05-29	0	
11452900	2017-05-30	0	
11452900	2017-05-31	0	
11452900	2017-06-01	0	
11452900	2017-06-02	0	
11452900	2017-06-03	0	
11452900	2017-06-04	0	
11452900	2017-06-05	0	
11452900	2017-06-06	0	
11452900	2017-06-07	0	
11452900	2017-06-08	0	
11452900	2017-06-09	0	
11452900	2017-06-10	0	
11452900	2017-06-11	0	
11452900	2017-06-12	0	
11452900	2017-06-13	0	
11452900	2017-06-14	0	
11452900	2017-06-15	0	
11452900	2017-06-16	0	
11452900	2017-06-17	0	
11452900	2017-06-18	0	
11452900	2017-06-19	0	
11452900	2017-06-20	0	
11452900	2017-06-21	0	
11452900	2017-06-22	0	
11452900	2017-06-23	0	
11452900	2017-06-24	0	
11452900	2017-06-25	0	
11452900	2017-06-26	0	
11452900	2017-06-27	0	
11452900	2017-06-28	0	
11452900	2017-06-29	0	
11452900	2017-06-30	0	
11452900	2017-07-01	0	
11452900	2017-07-02	0	
11452900	2017-07-03	0	
11452900	2017-07-04	0	
11452900	2017-07-05	0	
11452900	2017-07-06	0	
11452900	2017-07-07	0	
11452900	2017-07-08	0	
11452900	2017-07-09	0	
11452900	2017-07-10	0	
11452900	2017-07-11	0	
11452900	2017-07-12	0	
11452900	2017-07-13	0	
11452900	2017-07-14	0	
11452900	2017-07-15	0	
11452900	2017-07-16	0	
11452900	2017-07-17	0	
11452900	2017-07-18	0	
11452900	2017-07-19	0	
11452900	2017-07-20	0	
11452900	2017-07-21	0	
11452900	2017-07-22	0	
11452900	2017-07-23	0	
11452900	2017-07-24	0	
11452900	2017-07-25	0	
11452900	2017-07-26	0	
11452900	2017-07-27	0	
11452900	2017-07-28	0	
11452900	2017-07-29	0	
11452900	2017-07-30	0	
11452900	2017-07-31	0	
11452900	2017-08-01	0	
11452900	2017-08-02	0	
11452900	2017-08-03	0	
11452900	2017-08-04	0	
11452900	2017-08-05	0	
11452900	2017-08-06	0	
11452900	2017-08-07	0	
11452900	2017-08-08	0	
11452900	2017-08-09	0	
11452900	2017-08-10	0	
11452900	2017-08-11	0	
11452900	2017-08-12	0	
11452900	2017-08-13	0	
11452900	2017-08-14	0	
11452900	2017-08-15	0	
11452900	2017-08-16	0	
11452900	2017-08-17	0	
11452900	2017-08-18	0	
11452900	2017-08-19	0	
11452900	2017-08-20	0	
11452900	2017-08-21	0	
11452900	2017-08-22	0	
11452900	2017-08-23	0	
11452900	2017-08-24	0	
11452900	2017-08-25	0	
11452900	2017-08-26	0	
11452900	2017-08-27	0	
11452900	2017-08-28	0	
11452900	2017-08-29	0	
11452900	2017-08-30	0	
11452900	2017-08-31	0	
11452900	2017-09-01	0	
11452900	2017-09-02	0	
11452900	2017-09-03	0	
11452900	2017-09-04	0	
11452900	2017-09-05	0	
11452900	2017-09-06	0	
11452900	2017-09-07	0	
11452900	2017-09-08	0	
11452900	2017-09-09	0	
11452900	2017-09-10	0	
11452900	2017-09-11	0	
11452900	2017-09-12	0	
11452900	2017-09-13	0	
11452900	2017-09-14	0	
11452900	2017-09-15	0	
